iter	Passed	Remaining
0	225	225337
1	261	130724
2	299	99568
3	336	83910
4	349	69523
5	386	64024
6	422	59932
7	459	56964
8	497	54737
9	533	52767
10	569	51170
11	606	49911
12	643	48884
13	683	48110
14	721	47352
15	761	46809
16	799	46210
17	838	45731
18	878	45355
19	921	45153
20	963	44915
21	1002	44583
22	1028	43690
23	1066	43381
24	1102	43005
25	1139	42695
26	1175	42376
27	1212	42081
28	1249	41849
29	1286	41591
30	1323	41372
31	1360	41150
32	1397	40956
33	1433	40741
34	1470	40536
35	1506	40342
36	1543	40173
37	1582	40059
38	1619	39899
39	1655	39741
40	1693	39614
41	1730	39472
42	1768	39351
43	1804	39202
44	1841	39075
45	1878	38949
46	1915	38847
47	1952	38726
48	1989	38616
49	2028	38535
50	2064	38415
51	2103	38341
52	2139	38226
53	2177	38149
54	2215	38068
55	2253	37982
56	2290	37887
57	2328	37812
58	2366	37747
59	2404	37677
60	2442	37598
61	2482	37560
62	2520	37484
63	2557	37407
64	2595	37342
65	2633	37264
66	2670	37193
67	2709	37133
68	2745	37038
69	2780	36946
70	2825	36976
71	2862	36900
72	2901	36844
73	2939	36781
74	2978	36734
75	3017	36681
76	3055	36626
77	3095	36594
78	3133	36530
79	3172	36478
80	3209	36415
81	3247	36352
82	3286	36308
83	3332	36336
84	3373	36310
85	3409	36240
86	3449	36199
87	3488	36155
88	3525	36083
89	3562	36020
90	3600	35964
91	3637	35898
92	3674	35833
93	3715	35808
94	3753	35758
95	3792	35714
96	3831	35671
97	3870	35627
98	3911	35594
99	3951	35560
100	3989	35513
101	4030	35485
102	4069	35437
103	4107	35390
104	4149	35372
105	4191	35352
106	4229	35301
107	4270	35269
108	4307	35213
109	4346	35169
110	4383	35104
111	4419	35038
112	4457	34990
113	4494	34934
114	4530	34868
115	4567	34803
116	4605	34754
117	4644	34716
118	4680	34649
119	4716	34591
120	4752	34527
121	4790	34475
122	4829	34434
123	4867	34385
124	4903	34321
125	4940	34268
126	4976	34210
127	5015	34166
128	5052	34116
129	5089	34059
130	5126	34004
131	5162	33945
132	5200	33899
133	5234	33830
134	5269	33766
135	5307	33719
136	5342	33656
137	5380	33609
138	5419	33568
139	5456	33516
140	5491	33458
141	5529	33412
142	5567	33363
143	5604	33313
144	5640	33261
145	5679	33218
146	5714	33162
147	5751	33110
148	5789	33063
149	5825	33013
150	5861	32958
151	5897	32899
152	5934	32854
153	5971	32802
154	6009	32759
155	6045	32710
156	6082	32656
157	6120	32616
158	6158	32572
159	6197	32539
160	6235	32492
161	6272	32447
162	6310	32403
163	6347	32354
164	6385	32316
165	6422	32268
166	6460	32225
167	6495	32170
168	6533	32124
169	6570	32081
170	6606	32027
171	6641	31972
172	6679	31931
173	6715	31881
174	6752	31831
175	6790	31792
176	6827	31745
177	6864	31700
178	6900	31650
179	6938	31606
180	6976	31566
181	7013	31522
182	7052	31486
183	7090	31443
184	7127	31400
185	7165	31360
186	7209	31343
187	7246	31297
188	7283	31252
189	7319	31204
190	7357	31161
191	7405	31165
192	7451	31157
193	7492	31129
194	7529	31084
195	7566	31039
196	7603	30991
197	7641	30953
198	7678	30908
199	7715	30863
200	7751	30812
201	7788	30766
202	7825	30725
203	7863	30683
204	7898	30630
205	7939	30601
206	7977	30561
207	8014	30518
208	8052	30477
209	8087	30426
210	8124	30381
211	8161	30336
212	8198	30293
213	8235	30249
214	8273	30208
215	8310	30162
216	8347	30119
217	8385	30080
218	8422	30037
219	8460	29996
220	8496	29947
221	8533	29904
222	8570	29861
223	8607	29819
224	8643	29771
225	8679	29725
226	8717	29683
227	8757	29653
228	8793	29605
229	8829	29560
230	8867	29519
231	8901	29468
232	8940	29431
233	8977	29388
234	9014	29344
235	9051	29301
236	9087	29256
237	9123	29211
238	9160	29167
239	9198	29129
240	9235	29085
241	9272	29044
242	9308	28998
243	9344	28951
244	9383	28917
245	9421	28875
246	9455	28826
247	9492	28782
248	9528	28739
249	9564	28693
250	9600	28648
251	9636	28603
252	9672	28560
253	9709	28518
254	9745	28473
255	9781	28427
256	9818	28385
257	9853	28338
258	9890	28295
259	9925	28249
260	9962	28208
261	9999	28167
262	10038	28129
263	10074	28086
264	10110	28042
265	10146	27999
266	10183	27958
267	10218	27910
268	10256	27870
269	10291	27826
270	10328	27785
271	10364	27740
272	10401	27699
273	10437	27656
274	10475	27617
275	10511	27573
276	10548	27532
277	10583	27487
278	10619	27443
279	10654	27397
280	10691	27355
281	10727	27312
282	10762	27267
283	10799	27226
284	10835	27183
285	10872	27142
286	10909	27101
287	10946	27061
288	10984	27024
289	11019	26979
290	11057	26939
291	11094	26900
292	11131	26860
293	11168	26820
294	11205	26778
295	11240	26733
296	11275	26689
297	11312	26649
298	11350	26610
299	11387	26571
300	11423	26528
301	11459	26486
302	11497	26447
303	11533	26406
304	11568	26361
305	11605	26319
306	11642	26281
307	11677	26237
308	11712	26192
309	11749	26151
310	11784	26108
311	11820	26066
312	11856	26023
313	11894	25986
314	11929	25942
315	11966	25901
316	12003	25863
317	12041	25824
318	12076	25780
319	12117	25750
320	12154	25709
321	12190	25668
322	12229	25632
323	12265	25591
324	12301	25549
325	12339	25512
326	12376	25471
327	12411	25429
328	12447	25387
329	12483	25346
330	12520	25306
331	12556	25264
332	12592	25223
333	12630	25184
334	12666	25143
335	12702	25102
336	12738	25060
337	12773	25018
338	12810	24978
339	12848	24940
340	12885	24902
341	12922	24863
342	12960	24825
343	12996	24784
344	13034	24746
345	13071	24707
346	13110	24672
347	13147	24631
348	13185	24594
349	13223	24557
350	13261	24521
351	13297	24479
352	13334	24439
353	13369	24396
354	13405	24356
355	13442	24316
356	13480	24279
357	13518	24243
358	13555	24202
359	13591	24162
360	13628	24123
361	13665	24084
362	13702	24045
363	13739	24005
364	13774	23964
365	13810	23923
366	13849	23887
367	13885	23846
368	13921	23805
369	13959	23768
370	13996	23730
371	14033	23690
372	14069	23649
373	14106	23611
374	14144	23573
375	14180	23533
376	14215	23491
377	14252	23453
378	14288	23412
379	14326	23375
380	14363	23336
381	14402	23300
382	14440	23263
383	14476	23223
384	14513	23184
385	14550	23145
386	14589	23108
387	14628	23074
388	14665	23035
389	14701	22995
390	14739	22958
391	14777	22920
392	14814	22881
393	14850	22841
394	14889	22805
395	14925	22765
396	14963	22727
397	15001	22690
398	15038	22652
399	15075	22613
400	15112	22574
401	15148	22534
402	15187	22498
403	15222	22457
404	15258	22417
405	15298	22381
406	15337	22346
407	15374	22307
408	15411	22270
409	15450	22233
410	15490	22199
411	15527	22160
412	15564	22122
413	15601	22083
414	15640	22046
415	15678	22010
416	15717	21974
417	15754	21935
418	15792	21898
419	15828	21858
420	15864	21817
421	15899	21776
422	15935	21737
423	15973	21699
424	16009	21660
425	16047	21622
426	16085	21585
427	16122	21546
428	16159	21508
429	16195	21468
430	16232	21430
431	16269	21391
432	16309	21356
433	16345	21317
434	16383	21279
435	16420	21241
436	16458	21203
437	16493	21162
438	16530	21124
439	16566	21084
440	16603	21046
441	16640	21007
442	16680	20972
443	16716	20933
444	16753	20894
445	16790	20856
446	16828	20818
447	16865	20780
448	16901	20740
449	16939	20703
450	16975	20664
451	17012	20625
452	17047	20584
453	17087	20550
454	17125	20512
455	17163	20475
456	17198	20434
457	17235	20396
458	17272	20358
459	17309	20320
460	17345	20280
461	17382	20242
462	17419	20204
463	17457	20166
464	17494	20127
465	17529	20087
466	17566	20048
467	17602	20009
468	17638	19970
469	17674	19931
470	17711	19892
